Genre,year,sum
A Cappella,1988,215.20000000000002
A Cappella,2015,342.90000000000003
A Cappella,2016,50706.15
A Cappella,2017,32.0
A Cappella,2018,108.00000000000001
Acoustic Chill,2017,282.9500000000001
Acoustic Chill,2018,30648.449999999986
Acoustic Opm,2018,107.20000000000002
Acoustic Pop,1998,334.40000000000003
Acoustic Pop,2007,11096.800000000001
Acoustic Pop,2008,84871.09999999999
Acoustic Pop,2010,22.4
Acoustic Pop,2012,1809.9500000000005
Acoustic Pop,2013,32.0
Acoustic Pop,2014,6.4
Acoustic Pop,2017,144.00000000000003
Acoustic Pop,2018,2971.899999999999
Adult Standards,1942,128238.95000000001
Adult Standards,1944,2221.5
Adult Standards,1945,4039.4
Adult Standards,1949,118.4
Adult Standards,1958,1337.8000000000002
Adult Standards,1959,117134.65
Adult Standards,1960,5439.05
Adult Standards,1962,393.90000000000003
Adult Standards,1963,188815.4
Adult Standards,1964,158983.25
Adult Standards,1965,6815.500000000001
Adult Standards,1966,167.2
Adult Standards,1967,19265.45
Adult Standards,1968,51005.35000000001
Adult Standards,1969,1709.0
Adult Standards,1970,819.7
Adult Standards,1975,19.200000000000006
Adult Standards,1976,48.8
Adult Standards,1977,840.5999999999999
Adult Standards,1978,51.2
Adult Standards,1979,3448.5500000000006
Adult Standards,1980,41.6
Adult Standards,1981,507.3
Adult Standards,1983,745.6
Adult Standards,1984,172.0
Adult Standards,1990,692.15
Adult Standards,1991,18494.4
Adult Standards,1992,128.0
Adult Standards,1994,4075.5
Adult Standards,1996,2862.8
Adult Standards,1997,100.0
Adult Standards,1998,19772.950000000004
Adult Standards,1999,43346.50000000001
Adult Standards,2001,148.25
Adult Standards,2004,4.0
Adult Standards,2005,12.0
Adult Standards,2007,237.60000000000002
Adult Standards,2008,1662.35
Adult Standards,2009,555.8
Adult Standards,2010,979.45
Adult Standards,2011,670663.5
Adult Standards,2012,4684.650000000001
Adult Standards,2013,59.2
Adult Standards,2014,1787.8
Adult Standards,2016,2216.7
Adult Standards,2017,546.35
Adult Standards,2018,60.0
Adult Standards,2019,391.2
