Title,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,streams
1.5,21 Savage,Alternative Hip Hop,0.885,0.52,1,-8.353,1,0.359,0.000244,1.16e-06,0.454,0.306,84.022,148656,4,0,1,8.0,6.0,5.0,8.0,6.0,4.0,5.0,6.0,11.0,8.0,340.0,12276266.0
1.5,Lil Kleine,Hip Hop,0.852,0.469,5,-8.562000000000001,0,0.232,0.112,0.0,0.0936,0.184,101.021,187926,4,0,1,8.0,6.0,5.0,8.0,6.0,4.0,5.0,6.0,11.0,8.0,340.0,742621.0
10 Feet,Juice WRLD,Rap,0.6779999999999999,0.6809999999999999,6,-7.697999999999999,0,0.183,0.466,0.000657,0.263,0.525,104.014,212312,4,0,1,8.0,2.0,5.0,8.0,1.0,7.0,1.0,1.0,10.0,4.0,234.0,2657413.0
100,Ana Diaz,Pop,0.503,0.0886,0,-14.435,1,0.0496,0.963,3.500000000000001e-06,0.0636,0.386,138.22899999999998,222547,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,7276916.0
100,Ana Diaz,Pop,0.509,0.104,0,-13.102,1,0.0482,0.968,2.2e-06,0.0767,0.37,139.421,222655,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,7276916.0
100,Katchafire,Ambigious / Others,0.717,0.721,1,-6.81,0,0.0567,0.286,0.000144,0.0697,0.696,83.959,210285,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,216300.0
100,Kube,Pop,0.7559999999999999,0.521,6,-10.153,1,0.13,0.269,0.000316,0.183,0.5479999999999999,88.03200000000002,167625,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,10170580.0
100,Lisa Nilsson,Pop,0.363,0.353,2,-8.498,1,0.0297,0.684,0.0,0.0995,0.384,128.316,317373,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,3255333.0
100,Ronnie Flex,Hip Hop,0.6990000000000001,0.8140000000000001,5,-7.745,0,0.241,0.034,0.00486,0.44,0.931,164.12,162059,4,0,1,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,1248918.0
100,SuperM,K-pop,0.6920000000000001,0.8590000000000001,7,-2.529,1,0.0461,0.0277,0.0,0.363,0.403,114.993,206720,4,1,0,4.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,8.0,4.0,894.0,323664.0
100 Bad Days,AJR,Rock,0.626,0.639,10,-5.62,1,0.085,0.0465,0.0,0.161,0.638,144.009,212783,4,1,0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,286.0,291770.0
100 Bags,Stormzy,Electronica,0.5579999999999999,0.456,1,-9.904,1,0.531,0.6990000000000001,0.0,0.482,0.701,119.986,217664,4,0,1,6.0,11.0,4.0,7.0,13.0,4.0,7.0,15.0,9.0,15.0,566.0,14056.0
100 Degrees,Rich Brian,Hip Hop,0.7559999999999999,0.648,0,-5.287000000000001,1,0.0731,0.118,0.0,0.515,0.657,80.979,166146,4,0,1,4.0,6.0,3.0,3.0,4.0,4.0,2.0,6.0,11.0,8.0,362.0,32051758.0
100 Grandkids,Mac Miller,Hip Hop,0.735,0.7490000000000001,10,-3.766,0,0.0874,0.371,0.0,0.47,0.373,93.718,278507,4,0,1,7.0,9.0,5.0,7.0,11.0,7.0,3.0,10.0,12.0,13.0,580.0,220350.0
100 Shots,NLE Choppa,Hip Hop,0.8320000000000001,0.591,11,-7.665,1,0.408,0.154,2.75e-05,0.124,0.297,140.08100000000002,157929,4,0,1,6.0,10.0,3.0,7.0,10.0,2.0,6.0,11.0,6.0,17.0,512.0,805910.0
100 Summers,Meek Mill,Hip Hop,0.481,0.483,4,-8.174,0,0.331,0.171,0.0,0.0964,0.453,79.012,163834,4,0,1,7.0,6.0,3.0,9.0,6.0,6.0,4.0,7.0,12.0,9.0,479.0,596784.0
100 Years,Florence + The Machine,Pop,0.661,0.762,0,-6.753,1,0.0635,0.151,6.87e-06,0.0814,0.399,100.021,298360,4,0,1,4.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,6.0,355.0,56214.0
1000 Doves,Lady Gaga,Pop,0.6679999999999999,0.826,9,-4.466,1,0.0383,0.0236,1.07e-05,0.474,0.388,122.973,215480,4,1,0,3.0,2.0,1.0,5.0,5.0,7.0,3.0,3.0,10.0,7.0,236.0,7176316.0
12,88GLAM,Hip Hop,0.747,0.557,1,-8.971,0,0.069,0.369,3.53e-05,0.103,0.552,149.965,195200,4,0,1,4.0,6.0,3.0,4.0,4.0,3.0,3.0,5.0,6.0,6.0,326.0,43798.0
123,Jess Glynne,Pop,0.707,0.676,1,-5.578,1,0.176,0.0866,0.0,0.125,0.93,95.027,190280,4,1,0,2.0,7.0,2.0,1.0,10.0,4.0,3.0,9.0,4.0,13.0,257.0,56383.0
123,Jess Glynne,Pop,0.7070000000000001,0.674,1,-5.577999999999999,1,0.177,0.0901,0.0,0.115,0.928,95.02,190280,4,1,0,2.0,7.0,2.0,1.0,10.0,4.0,3.0,9.0,4.0,13.0,257.0,100667.0
151 Rum,JID,Hip Hop,0.7559999999999999,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.6659999999999999,129.983,156780,4,0,1,6.0,5.0,5.0,8.0,6.0,5.0,3.0,5.0,16.0,15.0,406.0,453637.0
16 Lines,Lil Peep,Rap,0.607,0.45,0,-8.507,1,0.0338,0.0663,1.12e-05,0.107,0.121,105.992,244907,4,0,1,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,251.0,2169895.0
16 Shots,VIC MENSA,Rap,0.512,0.693,6,-7.099,0,0.368,0.219,0.0,0.104,0.127,93.385,345747,4,0,1,4.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,9.0,6.0,480.0,921320.0
18,CoCo Lee,Ambigious / Others,0.6509999999999999,0.493,0,-8.71,1,0.0523,0.441,0.0,0.09,0.204,133.961,234995,4,1,0,0.0,6.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,5.0,293.0,3617.0
18,One Direction,Ambigious / Others,0.6809999999999999,0.5820000000000001,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,1,0,0.0,6.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,5.0,293.0,2129180.0
187,Giggs,Electronica,0.807,0.8079999999999999,11,-6.723,1,0.0954,0.00506,0.24,0.104,0.31,119.994,240977,4,0,1,13.0,4.0,9.0,10.0,3.0,6.0,8.0,7.0,19.0,9.0,550.0,20306.0
1942 Flows,Meek Mill,Hip Hop,0.63,0.628,2,-4.016,1,0.327,0.0515,0.0,0.091,0.266,121.307,282667,5,0,1,13.0,8.0,7.0,13.0,8.0,13.0,8.0,12.0,18.0,16.0,773.0,1969176.0
1993,Hemso,Hip Hop,0.8540000000000001,0.7959999999999999,2,-6.1160000000000005,1,0.342,0.155,0.0,0.132,0.429,92.997,144507,4,0,1,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,183.0,69779.0
1993,Wincent Weiss,Pop,0.5529999999999999,0.315,0,-10.082,1,0.0329,0.7140000000000001,5.07e-06,0.107,0.116,92.717,192147,4,1,0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,183.0,51631.0
1999,Prince,Funk,0.866,0.73,5,-8.201,1,0.0767,0.1369999999999999,0.0,0.0843,0.625,118.523,379267,4,1,0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,6.0,6.0,356.0,133947.0
2 Become 1,Spice Girls,Pop,0.6459999999999999,0.665,6,-7.877999999999999,1,0.0268,0.326,1.97e-05,0.238,0.7,143.966,241027,4,1,0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,4.0,2.0,6.0,213.0,42603.0
2 Heads,Coleman Hell,Pop,0.7509999999999999,0.746,0,-4.817,1,0.0432,0.115,3.09e-05,0.176,0.404,120.043,213253,4,1,0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,4.0,255.0,26954.0
2002,Anne-Marie,Pop,0.6970000000000001,0.6829999999999999,1,-2.881,0,0.117,0.0372,0.0,0.1369999999999999,0.603,96.133,186987,4,1,0,1.0,3.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,6.0,327.0,2211117017.0
2016,Sam Hunt,Country,0.52,0.384,6,-8.168,1,0.0362,0.596,0.0,0.103,0.328,149.536,235053,5,1,0,10.0,8.0,6.0,10.0,5.0,6.0,6.0,11.0,27.0,13.0,625.0,1228344.0
21,Mitch James,Pop,0.665,0.387,7,-7.367,1,0.0304,0.413,0.0,0.103,0.406,92.05,201181,4,1,0,2.0,4.0,2.0,0.0,4.0,0.0,1.0,8.0,3.0,6.0,303.0,1836699.0
21,Mitch James,Pop,0.666,0.389,7,-7.36,1,0.0306,0.414,0.0,0.102,0.418,92.138,201181,4,1,0,2.0,4.0,2.0,0.0,4.0,0.0,1.0,8.0,3.0,6.0,303.0,1836699.0
21,Nenny,Hip Hop,0.84,0.585,6,-6.084,0,0.452,0.38,0.0,0.224,0.476,135.269,206581,4,1,0,2.0,4.0,2.0,0.0,4.0,0.0,1.0,8.0,3.0,6.0,303.0,29206.0
21,Polo G,Rap,0.7829999999999999,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.5329999999999999,176.02700000000004,163798,4,0,1,2.0,4.0,2.0,0.0,4.0,0.0,1.0,8.0,3.0,6.0,303.0,204122786.0
22,Mau y Ricky,Ambigious / Others,0.76,0.773,3,-6.287999999999999,0,0.108,0.0124,4.95e-05,0.294,0.7659999999999999,169.957,161213,4,1,0,7.0,10.0,7.0,8.0,9.0,8.0,8.0,17.0,16.0,24.0,862.0,58413.0
22,Sarah McTernan,Ambigious / Others,0.711,0.45,0,-9.226,1,0.0509,0.12,0.0,0.647,0.672,125.041,173215,4,1,0,7.0,10.0,7.0,8.0,9.0,8.0,8.0,17.0,16.0,24.0,862.0,18077.0
22,Taylor Swift,Pop,0.6579999999999999,0.7290000000000001,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.6679999999999999,104.007,230133,4,1,0,7.0,10.0,7.0,8.0,9.0,8.0,8.0,17.0,16.0,24.0,862.0,149001.0
230 Pounds,Chillinit,Hip Hop,0.7240000000000001,0.762,10,-5.228,0,0.32,0.0216,0.0,0.106,0.276,140.135,189987,4,0,1,11.0,7.0,6.0,11.0,4.0,7.0,8.0,7.0,22.0,7.0,572.0,240289.0
24.19,Childish Gambino,Alternative Hip Hop,0.5379999999999999,0.463,0,-13.573,1,0.038,0.0946,0.000304,0.114,0.207,149.92700000000005,479187,4,1,0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,4.0,1.0,5.0,296.0,654858.0
26,KUMMER,Pop,0.7809999999999999,0.586,9,-6.955,1,0.199,0.314,0.0,0.0736,0.529,132.123,178943,4,1,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,285.0,97001.0
26,Paramore,Pop,0.561,0.286,2,-10.917,1,0.0266,0.852,3.56e-05,0.116,0.409,90.004,221720,4,1,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,285.0,69055.0
3 Nights,Dominic Fike,Alternative Rock,0.815,0.518,7,-6.593999999999999,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667,4,1,0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,6.0,2.0,352.0,936145596.0
30,Aitch,Hip Hop,0.742,0.705,6,-5.952999999999999,0,0.382,0.1969999999999999,0.0,0.0619,0.922,140.998,137021,4,0,1,2.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,8.0,284.0,7334.0
3005,Childish Gambino,Alternative Hip Hop,0.473,0.461,6,-6.474,0,0.333,0.149,0.0,0.0973,0.615,165.985,234213,4,0,1,6.0,14.0,5.0,6.0,11.0,7.0,6.0,10.0,11.0,18.0,504.0,2273238.0
32.22,Childish Gambino,Alternative Hip Hop,0.708,0.636,11,-10.655,1,0.299,0.605,0.42,0.115,0.487,108.035,192733,3,1,0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,302.0,482404.0
34+35,Ariana Grande,Pop,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,0,1,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,6.0,5.0,324.0,877125284.0
365,Amaranthe,Metal,0.475,0.878,7,-6.905,1,0.0707,0.000227,7.24e-06,0.3,0.477,164.995,208304,4,1,0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,5.0,2.0,278.0,38390.0
365,Tiara Andini,Pop,0.362,0.284,0,-9.837,0,0.0327,0.882,0.0,0.0961,0.267,79.109,199639,4,1,0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,5.0,2.0,278.0,2494270.0
38 Years Old,The Tragically Hip,Indie,0.639,0.39,7,-12.201,1,0.0261,0.0339,1.8e-05,0.051,0.24,97.635,260867,4,1,0,2.0,5.0,4.0,5.0,2.0,6.0,2.0,4.0,7.0,5.0,250.0,207742.0
3am,Halsey,Pop,0.385,0.871,0,-4.604,0,0.0795,0.00906,0.0,0.579,0.5379999999999999,189.76,234858,4,0,1,1.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,247.0,3693712.0
4 Am,Trueno,Hip Hop,0.804,0.59,11,-8.524,0,0.264,0.17,0.0,0.106,0.4529999999999999,123.947,247339,4,1,0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,4.0,6.0,225.0,16786.0
4 Phones,Rich The Kid,Alternative Hip Hop,0.926,0.523,1,-5.915,1,0.158,0.0269,0.000293,0.103,0.205,141.983,217339,4,0,1,8.0,6.0,4.0,4.0,4.0,4.0,1.0,10.0,11.0,8.0,529.0,1623155.0
