,region,year,streams
0,Argentina,2017,2687570939.0
1,Argentina,2018,3154620138.0
2,Argentina,2019,3961321148.0
3,Argentina,2020,4382740893.0
4,Argentina,2021,5347559814.0
5,Australia,2017,3283499394.0
6,Australia,2018,4060855939.0
7,Australia,2019,4354534346.0
8,Australia,2020,4387117844.0
9,Australia,2021,4042200817.0
10,Austria,2017,333892583.0
11,Austria,2018,457834914.0
12,Austria,2019,612857119.0
13,Austria,2020,640341507.0
14,Austria,2021,658264686.0
15,Belgium,2017,544140792.0
16,Belgium,2018,641313454.0
17,Belgium,2019,823328537.0
18,Belgium,2020,970264297.0
19,Belgium,2021,904095529.0
20,Bolivia,2017,94319700.0
21,Bolivia,2018,145785505.0
22,Bolivia,2019,236252662.0
23,Bolivia,2020,314910011.0
24,Bolivia,2021,379690676.0
25,Brazil,2017,6677867793.0
26,Brazil,2018,9133616560.0
27,Brazil,2019,11105842661.0
28,Brazil,2020,12523039097.0
29,Brazil,2021,16426316020.0
30,Bulgaria,2017,6825284.0
31,Bulgaria,2018,1593312.0
32,Bulgaria,2019,22214946.0
33,Bulgaria,2020,52132756.0
34,Bulgaria,2021,79211348.0
35,Canada,2017,3125893391.0
36,Canada,2018,3883068878.0
37,Canada,2019,4153883483.0
38,Canada,2020,4296694554.0
39,Canada,2021,3868025288.0
40,Chile,2017,2123467992.0
41,Chile,2018,2944350366.0
42,Chile,2019,4004220106.0
43,Chile,2020,4102028311.0
44,Chile,2021,4028469685.0
45,Colombia,2017,813805950.0
46,Colombia,2018,965389042.0
47,Colombia,2019,1173245962.0
48,Colombia,2020,1500021146.0
49,Colombia,2021,1594370459.0
50,Costa Rica,2017,353731059.0
51,Costa Rica,2018,365316475.0
52,Costa Rica,2019,445764447.0
53,Costa Rica,2020,516445805.0
54,Costa Rica,2021,455333346.0
55,Czech Republic,2017,203176033.0
56,Czech Republic,2018,257941191.0
57,Czech Republic,2019,354891927.0
58,Czech Republic,2020,482847404.0
59,Czech Republic,2021,496837106.0
60,Denmark,2017,1479614356.0
61,Denmark,2018,1372543351.0
62,Denmark,2019,1368049019.0
63,Denmark,2020,1398716974.0
64,Denmark,2021,1121892825.0
65,Dominican Republic,2017,149841021.0
66,Dominican Republic,2018,186562285.0
67,Dominican Republic,2019,248425444.0
68,Dominican Republic,2020,288664514.0
69,Dominican Republic,2021,280233173.0
70,Ecuador,2017,309275981.0
71,Ecuador,2018,407573577.0
72,Ecuador,2019,565831034.0
73,Ecuador,2020,705964070.0
74,Ecuador,2021,695637587.0
75,Egypt,2019,9804476.0
76,Egypt,2020,103011679.0
77,Egypt,2021,202940120.0
78,El Salvador,2017,78102113.0
79,El Salvador,2018,109883321.0
80,El Salvador,2019,189197350.0
81,El Salvador,2020,279249180.0
82,El Salvador,2021,310990982.0
83,Estonia,2017,21402546.0
84,Estonia,2018,26121880.0
85,Estonia,2019,41561638.0
86,Estonia,2020,51928455.0
87,Estonia,2021,52417324.0
88,Finland,2017,1221239136.0
89,Finland,2018,1085896473.0
90,Finland,2019,1006288312.0
91,Finland,2020,952443082.0
92,Finland,2021,776745204.0
93,France,2017,3068255917.0
94,France,2018,4103821514.0
95,France,2019,5452129081.0
96,France,2020,5959047450.0
97,France,2021,5286611939.0
98,Germany,2017,5874814951.0
99,Germany,2018,7277458489.0
100,Germany,2019,9496089853.0
101,Germany,2020,9672041206.0
102,Germany,2021,7635865814.0
108,Greece,2017,57279069.0
109,Greece,2018,89968363.0
110,Greece,2019,219062896.0
111,Greece,2020,371808606.0
112,Greece,2021,523673330.0
113,Guatemala,2017,171952354.0
114,Guatemala,2018,232749541.0
115,Guatemala,2019,383436552.0
116,Guatemala,2020,600645528.0
117,Guatemala,2021,644425845.0
118,Honduras,2017,89340165.0
119,Honduras,2018,93345382.0
120,Honduras,2019,150468701.0
121,Honduras,2020,217136648.0
122,Honduras,2021,224363571.0
123,Hong Kong,2017,288253782.0
