Genre,LDA_Topic,streams
A Cappella,Celebrate,25343.0
A Cappella,Explore,54557471.0
A Cappella,Love,7693.0
A Cappella,Thug,3509.0
Ambigious / Others,Celebrate,932079911.0
Ambigious / Others,Desire,1211223734.0
Ambigious / Others,Explore,491604382.0
Ambigious / Others,Fun,73158634.0
Ambigious / Others,Hope,1259476458.0
Ambigious / Others,Love,2071066103.0
Ambigious / Others,Nostalgia,524234782.0
Ambigious / Others,Thug,331740336.0
Blues,Celebrate,108741490.0
Blues,Love,14058.0
Country,Celebrate,8436737.0
Country,Desire,811171229.0
Country,Explore,1054003142.0
Country,Fun,2056323.0
Country,Hope,1054678485.0
Country,Love,898423361.0
Country,Nostalgia,573223239.0
Country,Thug,11840388.0
Dance,Celebrate,34324603.0
Dance,Desire,1673755.0
Dance,Explore,43923800.0
Dance,Fun,7972.0
Dance,Hope,27921267.0
Dance,Love,42605850.0
Dance,Nostalgia,2998572.0
Dance,Thug,1990490.0
Electronic / EDM,Celebrate,1071675591.0
Electronic / EDM,Desire,67761063.0
Electronic / EDM,Explore,542300714.0
Electronic / EDM,Fun,551300467.0
Electronic / EDM,Hope,195696793.0
Electronic / EDM,Love,216249830.0
Electronic / EDM,Nostalgia,96431808.0
Electronic / EDM,Thug,49099873.0
Folk,Celebrate,775167.0
Folk,Desire,180304123.0
Folk,Explore,3939697.0
Folk,Fun,1884909.0
Folk,Hope,16608779.0
Folk,Love,24291335.0
Folk,Nostalgia,21453201.0
Folk,Thug,3010.0
Funk,Celebrate,223639.0
Funk,Desire,133947.0
Funk,Hope,389474.0
Funk,Love,3117499.0
Funk,Thug,438159.0
Hip Hop,Celebrate,177769633.0
Hip Hop,Desire,1811332854.0
Hip Hop,Explore,702499251.0
Hip Hop,Fun,769616537.0
Hip Hop,Hope,3017388389.0
Hip Hop,Love,619763510.0
Hip Hop,Nostalgia,733364249.0
Hip Hop,Thug,5746657097.0
Indie,Celebrate,3287919.0
Indie,Desire,2288130.0
Indie,Explore,33298969.0
Indie,Fun,17489304.0
Indie,Hope,540280002.0
Indie,Love,41311339.0
Indie,Nostalgia,6839306.0
Indie,Thug,170713516.0
Jazz,Celebrate,835146.0
Jazz,Explore,34268.0
Jazz,Fun,74487496.0
Jazz,Hope,1282944.0
Jazz,Love,9573.0
Jazz,Thug,7830.0
K-pop,Celebrate,2037836.0
K-pop,Desire,11792665.0
K-pop,Explore,680162045.0
K-pop,Fun,8201788.0
K-pop,Hope,115617946.0
K-pop,Love,329933520.0
K-pop,Nostalgia,4889697.0
K-pop,Thug,360278.0
Metal,Celebrate,4052876.0
Metal,Desire,320215.0
Metal,Explore,107135826.0
Metal,Hope,9279095.0
Metal,Love,17362882.0
Metal,Nostalgia,9157740.0
Metal,Thug,29672.0
Pop,Celebrate,5592659286.0
Pop,Desire,6396958291.0
Pop,Explore,5967847070.0
Pop,Fun,891380240.0
Pop,Hope,16126792885.0
Pop,Love,8983485814.0
Pop,Nostalgia,3252899776.0
Pop,Thug,1368309521.0
Punk,Explore,19472551.0
Punk,Fun,524632.0
Punk,Hope,1041253.0
Punk,Love,226083.0
R&b,Celebrate,9798964.0
R&b,Desire,826025377.0
R&b,Explore,4861000544.0
R&b,Fun,42820242.0
R&b,Hope,2625733686.0
R&b,Love,1955756802.0
R&b,Nostalgia,594932677.0
R&b,Thug,12244975.0
Rap,Celebrate,641727048.0
Rap,Desire,1600052389.0
Rap,Explore,1087169031.0
Rap,Fun,2363658717.0
Rap,Hope,5358773986.0
Rap,Love,6359131304.0
Rap,Nostalgia,160278783.0
Rap,Thug,10805486938.0
Reggae,Celebrate,81896495.0
Reggae,Desire,3086222.0
Reggae,Explore,25663728.0
Reggae,Fun,325570.0
Reggae,Hope,369584.0
Reggae,Love,3961185.0
Reggae,Nostalgia,104474.0
Reggae,Thug,112144.0
Rock,Celebrate,95606111.0
Rock,Desire,585979601.0
Rock,Explore,5163281529.0
Rock,Fun,92036810.0
Rock,Hope,618681738.0
Rock,Love,1160344046.0
Rock,Nostalgia,412334292.0
Rock,Thug,2197037.0
Soul,Celebrate,73102889.0
Soul,Desire,1125568.0
Soul,Explore,15725785.0
Soul,Fun,45034.0
Soul,Hope,526992704.0
Soul,Love,59491845.0
Soul,Nostalgia,13694875.0
