key,genre,lda_topic,streams
"{'genre': 'A Cappella', 'lda_topic': 'Celebrate'}",A Cappella,Celebrate,25343.0
"{'genre': 'A Cappella', 'lda_topic': 'Explore'}",A Cappella,Explore,54557471.0
"{'genre': 'A Cappella', 'lda_topic': 'Love'}",A Cappella,Love,7693.0
"{'genre': 'A Cappella', 'lda_topic': 'Thug'}",A Cappella,Thug,3509.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Celebrate'}",Ambigious / Others,Celebrate,932079911.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Desire'}",Ambigious / Others,Desire,1211223734.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Explore'}",Ambigious / Others,Explore,491604382.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Fun'}",Ambigious / Others,Fun,73158634.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Hope'}",Ambigious / Others,Hope,1259476458.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Love'}",Ambigious / Others,Love,2071066103.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Nostalgia'}",Ambigious / Others,Nostalgia,524234782.0
"{'genre': 'Ambigious / Others', 'lda_topic': 'Thug'}",Ambigious / Others,Thug,331740336.0
"{'genre': 'Blues', 'lda_topic': 'Celebrate'}",Blues,Celebrate,108741490.0
"{'genre': 'Blues', 'lda_topic': 'Love'}",Blues,Love,14058.0
"{'genre': 'Country', 'lda_topic': 'Celebrate'}",Country,Celebrate,8436737.0
"{'genre': 'Country', 'lda_topic': 'Desire'}",Country,Desire,811171229.0
"{'genre': 'Country', 'lda_topic': 'Explore'}",Country,Explore,1054003142.0
"{'genre': 'Country', 'lda_topic': 'Fun'}",Country,Fun,2056323.0
"{'genre': 'Country', 'lda_topic': 'Hope'}",Country,Hope,1054678485.0
"{'genre': 'Country', 'lda_topic': 'Love'}",Country,Love,898423361.0
"{'genre': 'Country', 'lda_topic': 'Nostalgia'}",Country,Nostalgia,573223239.0
"{'genre': 'Country', 'lda_topic': 'Thug'}",Country,Thug,11840388.0
"{'genre': 'Dance', 'lda_topic': 'Celebrate'}",Dance,Celebrate,34324603.0
"{'genre': 'Dance', 'lda_topic': 'Desire'}",Dance,Desire,1673755.0
"{'genre': 'Dance', 'lda_topic': 'Explore'}",Dance,Explore,43923800.0
"{'genre': 'Dance', 'lda_topic': 'Fun'}",Dance,Fun,7972.0
"{'genre': 'Dance', 'lda_topic': 'Hope'}",Dance,Hope,27921267.0
"{'genre': 'Dance', 'lda_topic': 'Love'}",Dance,Love,42605850.0
"{'genre': 'Dance', 'lda_topic': 'Nostalgia'}",Dance,Nostalgia,2998572.0
"{'genre': 'Dance', 'lda_topic': 'Thug'}",Dance,Thug,1990490.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Celebrate'}",Electronic / EDM,Celebrate,1071675591.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Desire'}",Electronic / EDM,Desire,67761063.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Explore'}",Electronic / EDM,Explore,542300714.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Fun'}",Electronic / EDM,Fun,551300467.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Hope'}",Electronic / EDM,Hope,195696793.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Love'}",Electronic / EDM,Love,216249830.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Nostalgia'}",Electronic / EDM,Nostalgia,96431808.0
"{'genre': 'Electronic / EDM', 'lda_topic': 'Thug'}",Electronic / EDM,Thug,49099873.0
"{'genre': 'Folk', 'lda_topic': 'Celebrate'}",Folk,Celebrate,775167.0
"{'genre': 'Folk', 'lda_topic': 'Desire'}",Folk,Desire,180304123.0
"{'genre': 'Folk', 'lda_topic': 'Explore'}",Folk,Explore,3939697.0
"{'genre': 'Folk', 'lda_topic': 'Fun'}",Folk,Fun,1884909.0
"{'genre': 'Folk', 'lda_topic': 'Hope'}",Folk,Hope,16608779.0
"{'genre': 'Folk', 'lda_topic': 'Love'}",Folk,Love,24291335.0
"{'genre': 'Folk', 'lda_topic': 'Nostalgia'}",Folk,Nostalgia,21453201.0
"{'genre': 'Folk', 'lda_topic': 'Thug'}",Folk,Thug,3010.0
"{'genre': 'Funk', 'lda_topic': 'Celebrate'}",Funk,Celebrate,223639.0
"{'genre': 'Funk', 'lda_topic': 'Desire'}",Funk,Desire,133947.0
"{'genre': 'Funk', 'lda_topic': 'Hope'}",Funk,Hope,389474.0
