chart_year,Genre,region,streams
2017,A Cappella,Australia,73311
2017,A Cappella,Austria,392082
2017,A Cappella,Belgium,44828
2017,A Cappella,Canada,730657
2017,A Cappella,Denmark,95318
2017,A Cappella,Finland,51503
2017,A Cappella,Germany,4124712
2017,A Cappella,Global,12952665
2017,A Cappella,Italy,689847
2017,A Cappella,Netherlands,500339
2017,A Cappella,New Zealand,12505
2017,A Cappella,Philippines,25343
2017,A Cappella,Poland,257799
2017,A Cappella,Portugal,10682
2017,A Cappella,Singapore,11627
2017,A Cappella,Sweden,33330
2017,A Cappella,Switzerland,239698
2017,A Cappella,United States of America,7547168
2017,Acoustic Chill,Sweden,251454
2017,Acoustic Pop,Australia,19338
2017,Acoustic Pop,Malaysia,3614
2017,Acoustic Pop,Norway,30002
2017,Acoustic Pop,Philippines,8845827
2017,Acoustic Pop,Taiwan,27193
2017,Adult Standards,Australia,2742992
2017,Adult Standards,Austria,222755
2017,Adult Standards,Belgium,434941
2017,Adult Standards,Canada,2952391
2017,Adult Standards,Chile,75861
2017,Adult Standards,Costa Rica,2211
2017,Adult Standards,Denmark,2097946
2017,Adult Standards,Ecuador,2865
2017,Adult Standards,Finland,126474
2017,Adult Standards,France,242358
2017,Adult Standards,Germany,2739404
2017,Adult Standards,Global,36412866
2017,Adult Standards,Indonesia,5119
2017,Adult Standards,Ireland,866700
2017,Adult Standards,Italy,933286
2017,Adult Standards,Malaysia,81398
2017,Adult Standards,Mexico,65842
2017,Adult Standards,Netherlands,1527172
2017,Adult Standards,New Zealand,539642
2017,Adult Standards,Norway,1834751
2017,Adult Standards,Peru,6929
2017,Adult Standards,Philippines,239261
2017,Adult Standards,Poland,1503286
2017,Adult Standards,Portugal,86988
2017,Adult Standards,Singapore,143472
2017,Adult Standards,Spain,351922
2017,Adult Standards,Sweden,2389508
2017,Adult Standards,Switzerland,206520
2017,Adult Standards,Taiwan,68050
2017,Adult Standards,United States of America,16012040
2017,Afroswing,Global,862954
2017,Afroswing,Ireland,1671524
2017,Ai,Canada,69487
2017,Ai,Poland,39230
2017,Ai,Portugal,5217
2017,Ai,Switzerland,15535
2017,Ai,Turkey,6189
2017,Alabama Rap,Canada,1644236
2017,Alabama Rap,Global,12659521
2017,Alabama Rap,United States of America,50232316
2017,Albanian Hip Hop,Austria,94547
2017,Albanian Hip Hop,Germany,6121521
2017,Albanian Hip Hop,Switzerland,25407
2017,Album Rock,Australia,377071
2017,Album Rock,Austria,134412
2017,Album Rock,Belgium,31476
2017,Album Rock,Canada,395305
2017,Album Rock,Finland,8291
2017,Album Rock,France,18864
2017,Album Rock,Germany,1260771
2017,Album Rock,Global,5516761
2017,Album Rock,Ireland,30646
2017,Album Rock,Italy,108365
2017,Album Rock,Malaysia,4631
2017,Album Rock,Netherlands,569951
2017,Album Rock,New Zealand,890378
2017,Album Rock,Philippines,8080016
2017,Album Rock,Poland,347091
