Genre,chart_year,sum
A Cappella,2017,27793414.0
A Cappella,2018,25671595.0
A Cappella,2019,19769762.0
A Cappella,2020,16615098.0
A Cappella,2021,2474526.0
Ambigious / Others,2017,1023124637.0
Ambigious / Others,2018,3080414586.0
Ambigious / Others,2019,5464286433.0
Ambigious / Others,2020,3428073147.0
Ambigious / Others,2021,1879028078.0
Blues,2017,7820663.0
Blues,2018,26965028.0
Blues,2019,52763904.0
Blues,2020,84143874.0
Blues,2021,53070220.0
Country,2017,1130762119.0
Country,2018,1081442746.0
Country,2019,914138902.0
Country,2020,1040611662.0
Country,2021,681792337.0
Dance,2017,69096625.0
Dance,2018,24590658.0
Dance,2019,50851245.0
Dance,2020,46189092.0
Dance,2021,26927980.0
Electronic / EDM,2017,2722118652.0
Electronic / EDM,2018,905586448.0
Electronic / EDM,2019,861894343.0
Electronic / EDM,2020,933848081.0
Electronic / EDM,2021,710214267.0
Folk,2017,207371151.0
Folk,2018,85002982.0
Folk,2019,25264148.0
Folk,2020,16750263.0
Folk,2021,44253464.0
Funk,2017,1102425.0
Funk,2018,48568.0
Funk,2019,243017.0
Funk,2020,4590482.0
Funk,2021,690202.0
Hip Hop,2017,6635400526.0
Hip Hop,2018,9429943918.0
Hip Hop,2019,2984164645.0
Hip Hop,2020,5546286436.0
Hip Hop,2021,685928698.0
Indie,2017,46953648.0
Indie,2018,38231011.0
Indie,2019,57029740.0
Indie,2020,1565192741.0
Indie,2021,52232472.0
Jazz,2017,2858454.0
Jazz,2018,127157100.0
Jazz,2019,14929312.0
Jazz,2020,1714709.0
K-pop,2017,25772836.0
K-pop,2018,37505426.0
K-pop,2019,362286288.0
K-pop,2020,1346903244.0
K-pop,2021,952198600.0
Metal,2017,138457026.0
Metal,2018,22515868.0
Metal,2019,58804128.0
Metal,2020,19136257.0
Metal,2021,9837346.0
Pop,2017,25506218023.0
Pop,2018,20569492444.0
Pop,2019,24973216313.0
Pop,2020,27593954260.0
Pop,2021,11903111607.0
Punk,2017,188147.0
Punk,2018,488588.0
Punk,2019,2277407.0
Punk,2020,76331.0
Punk,2021,18234046.0
R&b,2017,1960807639.0
R&b,2018,3095814532.0
R&b,2019,3363697910.0
R&b,2020,10536247767.0
R&b,2021,5006899279.0
Rap,2017,6037700375.0
Rap,2018,14179653750.0
Rap,2019,16558716040.0
Rap,2020,17429361493.0
Rap,2021,4794040654.0
Reggae,2017,7334944.0
Reggae,2018,9968935.0
Reggae,2019,48615310.0
Reggae,2020,36600641.0
Reggae,2021,12999572.0
Rock,2017,6808930066.0
Rock,2018,5365538871.0
Rock,2019,3496516357.0
Rock,2020,1691290664.0
Rock,2021,2297944740.0
Soul,2017,397546647.0
Soul,2018,42851031.0
Soul,2019,24043718.0
Soul,2020,910052061.0
Soul,2021,240811579.0
