Genre,chart_year,sum
A Cappella,2017,20246246.0
A Cappella,2018,19493650.0
A Cappella,2019,16060698.0
A Cappella,2020,15896006.0
A Cappella,2021,1502481.0
Ambigious / Others,2017,925465945.0
Ambigious / Others,2018,2593580087.0
Ambigious / Others,2019,4546612616.0
Ambigious / Others,2020,2906397280.0
Ambigious / Others,2021,1502678186.0
Blues,2017,6537296.0
Blues,2018,23122623.0
Blues,2019,37829159.0
Blues,2020,55878718.0
Blues,2021,25525057.0
Country,2017,370486041.0
Country,2018,142680898.0
Country,2019,135320356.0
Country,2020,157097961.0
Country,2021,74217164.0
Dance,2017,67135774.0
Dance,2018,21585326.0
Dance,2019,49109264.0
Dance,2020,42819129.0
Dance,2021,23226185.0
Electronic / EDM,2017,2592723453.0
Electronic / EDM,2018,894768310.0
Electronic / EDM,2019,826092537.0
Electronic / EDM,2020,932158703.0
Electronic / EDM,2021,709978881.0
Folk,2017,168239782.0
Folk,2018,79058828.0
Folk,2019,24981550.0
Folk,2020,16750263.0
Folk,2021,35977255.0
Funk,2017,158631.0
Funk,2018,48568.0
Funk,2019,243017.0
Funk,2020,3260664.0
Funk,2021,392126.0
Hip Hop,2017,3973279554.0
Hip Hop,2018,6505549684.0
Hip Hop,2019,1743588934.0
Hip Hop,2020,4033882618.0
Hip Hop,2021,533185734.0
Indie,2017,38910895.0
Indie,2018,38231011.0
Indie,2019,51415085.0
Indie,2020,1362909172.0
Indie,2021,50341850.0
Jazz,2017,2858454.0
Jazz,2018,127157100.0
Jazz,2019,14929312.0
Jazz,2020,1714709.0
K-pop,2017,24415874.0
K-pop,2018,34737861.0
K-pop,2019,341681473.0
K-pop,2020,1254427752.0
K-pop,2021,899048987.0
Metal,2017,122738380.0
Metal,2018,22123180.0
Metal,2019,45389024.0
Metal,2020,18364875.0
Metal,2021,9244953.0
Pop,2017,21634496151.0
Pop,2018,17582995007.0
Pop,2019,21521864819.0
Pop,2020,24436562979.0
Pop,2021,10190800963.0
Punk,2017,188147.0
Punk,2018,488588.0
Punk,2019,193293.0
Punk,2020,76331.0
Punk,2021,18234046.0
R&b,2017,1338683675.0
R&b,2018,2220934473.0
R&b,2019,2451429054.0
R&b,2020,9164416117.0
R&b,2021,4357439949.0
Rap,2017,3674912683.0
Rap,2018,9394636453.0
Rap,2019,10824474334.0
Rap,2020,12272298904.0
Rap,2021,3172667124.0
Reggae,2017,7334944.0
Reggae,2018,9643365.0
Reggae,2019,48615310.0
Reggae,2020,36600641.0
Reggae,2021,12999572.0
Rock,2017,5819826065.0
Rock,2018,4647526064.0
Rock,2019,3313186900.0
Rock,2020,1561021300.0
Rock,2021,1953250343.0
Soul,2017,395224306.0
Soul,2018,38899121.0
Soul,2019,22589703.0
Soul,2020,750482566.0
Soul,2021,218720043.0
