,Genre,popularity,Artist_followers,streams
0,A Cappella,230367.65000000002,55779500.0,54594016.0
1,Ambigious / Others,19713954.650000002,3114282932.0,6894584340.0
2,Blues,173585.65000000002,27717874.0,108755548.0
3,Country,2491354.9,237308108.0,4413832904.0
4,Dance,732992.9999999999,694019830.0,155446309.0
5,Electronic / EDM,13177957.15,1764863955.0,2790516139.0
6,Folk,1636314.5,48113938.0,249260221.0
7,Funk,9212.9,113989716.0,4302718.0
8,Hip Hop,21349289.05,6569746474.0,13578391520.0
9,Indie,3422507.099999999,184417906.0,815508485.0
10,Jazz,266047.75,7820550.0,76657257.0
11,K-pop,3415989.400000001,1549886430.0,1152995775.0
12,Metal,461745.84999999986,1407924278.0,147338306.0
13,Pop,169199846.25000003,29717690083.0,48580332883.0
14,Punk,2448.5,31411353.0,21264519.0
15,R&b,23448701.650000002,1695207332.0,10928313267.0
16,Rap,49107785.30000001,4473754553.0,28376278196.0
17,Reggae,622603.6499999998,49776978.0,115519402.0
18,Rock,26818344.500000004,6251367979.0,8130461164.0
19,Soul,2889662.6,984833543.0,690178700.0
