,Artist,Artist_followers,Genre,streams,popularity
0,*NSYNC,1371493.0,Ambigious / Others,28173.0,24.0
1,10cm,140472.0,Indie,2750.0,15.2
2,2 Chainz,5854248.0,Hip Hop,4783450.0,932.8000000000001
3,21 Savage,8668809.0,Hip Hop,907819640.0,832339.95
4,2Pac,9276301.0,Funk,1544535.0,497.75
5,3robi,160805.0,Hip Hop,718446.0,1262.15
6,4Keus,652020.0,Ambigious / Others,131879.0,113.6
7,5 Seconds of Summer,6734577.0,Ambigious / Others,3837262854.0,5249398.100000002
8,50 Cent,6449945.0,Hip Hop,742398.0,3841.2499999999995
9,6LACK,2580696.0,R&b,62493859.0,26716.5
10,6ix9ine,5963018.0,Rap,588666.0,165.10000000000002
11,88GLAM,316074.0,Hip Hop,2193760.0,10651.500000000004
12,98º,285844.0,Ambigious / Others,537891.0,1888.4999999999995
13,A Boogie Wit da Hoodie,5184928.0,Rap,104275613.0,29318.45
14,A Great Big World,426635.0,Indie,2842.0,11.2
15,A Little Nothing,2816.0,Indie,2225.0,15.2
16,A R I Z O N A,338687.0,Electronic / EDM,111326711.0,139635.65
17,A$AP Ferg,2699921.0,Hip Hop,4866247.0,1446.6000000000001
18,A$AP Rocky,8122580.0,Hip Hop,66659783.0,38301.450000000004
19,AC/DC,16711265.0,Rock,15148736.0,18391.3
20,ADAAM,39471.0,Hip Hop,694177.0,1527.1
21,AGNEZ MO,0.0,Ambigious / Others,58868.0,251.6
22,AJ Mitchell,490508.0,Pop,3400.0,16.0
23,AJ Rafael,112677.0,Pop,333397.0,60.8
24,AJ Tracey,738459.0,Electronic / EDM,7158911.0,175682.0000000001
25,AJR,1464818.0,Rock,878787293.0,740235.3000000002
26,AK AUSSERKONTROLLE,619849.0,Hip Hop,8447968.0,6004.5
27,ALMA,190017.0,Pop,31481989.0,155824.45
28,ALMA,2472.0,Pop,302586.0,827.2
29,ANNICA,642.0,Ambigious / Others,20901.0,19.200000000000006
30,ANYA,7593.0,Pop,18018.0,22.4
31,AOA,559321.0,K-pop,13666.0,119.20000000000002
32,ARTY,150763.0,Electronic / EDM,3093.0,21.6
33,ARY,16129.0,Indie,12337.0,21.6
34,AURORA,1063055.0,Pop,124300.0,183.6
35,AVEC,23228.0,Indie,2607.0,6.4
36,Aaron Carter,205131.0,Pop,70572593.0,98121.40000000001
37,Abdullah İnal,3976.0,Ambigious / Others,205293.0,896.8000000000003
38,Ace of Base,424088.0,Dance,4813.0,11.2
39,Adel,53535.0,Rap,154048.0,294.8
40,Adele,24014946.0,Soul,316385112.0,711634.3000000002
41,Aden,22484.0,Rap,19132.0,17.6
42,Aden x Asme,45327.0,Hip Hop,167028.0,323.15
43,Adrees,1413.0,Ambigious / Others,58898.0,216.00000000000003
44,Adrian Sellevoll,9264.0,Pop,136059.0,536.2
45,Agust D,3258648.0,Rap,5584432.0,5459.6
46,Ahmad Abdul,38961.0,Pop,15205.0,13.6
47,Ahna Mac,487.0,Ambigious / Others,14473.0,77.6
48,Aitana,1223806.0,Pop,3601833.0,4575.5
49,Aitch,548585.0,Hip Hop,19122.0,54.40000000000001
50,Alan Walker,24925809.0,Electronic / EDM,585526569.0,2817899.0
51,Alba Reche,81917.0,Ambigious / Others,175605.0,195.25000000000003
52,Albin Lee Meldau,62067.0,Pop,80321.0,145.60000000000005
53,Alec Benjamin,2130472.0,Pop,1451622681.0,2961983.4499999997
54,Alejandro Fernández,3543693.0,Ambigious / Others,252535.0,630.1500000000001
55,Alessia Cara,7910658.0,R&b,294087548.0,805560.0500000002
56,Alesso,3485991.0,Electronic / EDM,3691931.0,9739.45
57,Alex Järvi,6137.0,Pop,1458311.0,3451.849999999999
58,Alex Mattson,7679.0,Pop,3077342.0,25560.8
59,Alex Porat,35422.0,Pop,203293.0,40.8
60,Alexisonfire,285114.0,Rock,40375.0,60.0
61,Alextbh,59293.0,R&b,6921.0,22.4
62,Alfred García,120589.0,Ambigious / Others,365570.0,587.25
63,Ali Gatie,1412470.0,Hip Hop,238492579.0,349309.1
64,Alice Merton,260012.0,Rock,52959346.0,257105.90000000008
65,Alicia Keys,8049832.0,Pop,33019995.0,82886.2
66,Alicia Moffet,21554.0,Pop,270169.0,342.8
67,Alida,7552.0,Pop,49718.0,137.6
68,Alien Ant Farm,587282.0,Metal,3166.0,23.20000000000001
69,Alif Satar,143136.0,Indie,2266330.0,37389.10000000001
70,Alison Wonderland,386688.0,Electronic / EDM,10490841.0,13165.350000000002
71,Allie X,488461.0,Pop,502344.0,473.1
72,Ally Brooke,351046.0,Pop,12161.0,84.80000000000003
73,Aloe Blacc,606464.0,Soul,473736.0,619.0
