,Genre,Country,streams,popularity
0,A Cappella,Australia,517846.0,1241.6000000000004
1,A Cappella,Austria,2734854.0,91001.0
2,A Cappella,Belgium,115342.0,1377.8000000000002
3,A Cappella,Canada,3052394.0,12618.2
4,A Cappella,Denmark,110604.0,335.99999999999994
5,A Cappella,Finland,73991.0,326.4000000000001
6,A Cappella,Germany,21837824.0,57395.500000000015
7,A Cappella,Global,37730379.0,6700.4
8,A Cappella,Italy,1774769.0,8455.800000000001
9,A Cappella,Malaysia,12219.0,63.2
10,A Cappella,Netherlands,1197991.0,4905.6
11,A Cappella,New Zealand,105255.0,1301.6
12,A Cappella,Norway,361905.0,1323.2000000000003
13,A Cappella,Philippines,62310.0,104.0
14,A Cappella,Poland,583724.0,7931.8
15,A Cappella,Portugal,23912.0,550.7
16,A Cappella,Singapore,31808.0,614.9
17,A Cappella,Sweden,1998939.0,3083.9999999999986
18,A Cappella,Switzerland,864824.0,24994.999999999996
19,A Cappella,Taiwan,8191.0,73.6
20,A Cappella,United States of America,19125314.0,12667.75
21,Ambigious / Others,Argentina,25167713.0,39461.3
22,Ambigious / Others,Australia,632600620.0,1557620.6000000006
23,Ambigious / Others,Austria,39431009.0,395711.14999999997
24,Ambigious / Others,Belgium,83631616.0,867506.8500000002
25,Ambigious / Others,Brazil,53119142.0,19102.55
26,Ambigious / Others,Canada,394297028.0,904562.95
27,Ambigious / Others,Chile,20359149.0,37061.149999999994
28,Ambigious / Others,Colombia,20254960.0,89383.75
29,Ambigious / Others,Costa Rica,15909925.0,479990.1
30,Ambigious / Others,Denmark,176665197.0,1208450.3499999999
31,Ambigious / Others,Ecuador,12353835.0,145534.45
32,Ambigious / Others,Finland,33224883.0,194358.05000000002
33,Ambigious / Others,France,226527136.0,382576.1000000001
34,Ambigious / Others,Germany,356792698.0,248947.15000000002
35,Ambigious / Others,Global,7980342541.0,648111.55
36,Ambigious / Others,Indonesia,183002780.0,735964.4499999997
37,Ambigious / Others,Ireland,126965032.0,1337132.0
38,Ambigious / Others,Italy,114871250.0,175705.4
39,Ambigious / Others,Malaysia,119421278.0,1531041.1500000004
40,Ambigious / Others,Mexico,172771458.0,136840.05000000002
41,Ambigious / Others,Netherlands,303572711.0,684796.15
42,Ambigious / Others,New Zealand,119355340.0,1473207.2000000004
43,Ambigious / Others,Norway,178358426.0,991243.5499999999
44,Ambigious / Others,Peru,37426217.0,159135.40000000005
45,Ambigious / Others,Philippines,261484244.0,795304.2499999999
46,Ambigious / Others,Poland,114809176.0,687682.0000000001
47,Ambigious / Others,Portugal,30700619.0,469991.4
48,Ambigious / Others,Singapore,125958439.0,1562734.6000000006
49,Ambigious / Others,Spain,173781995.0,224896.1
50,Ambigious / Others,Sweden,240502069.0,640536.7999999999
51,Ambigious / Others,Switzerland,50679344.0,475685.7
52,Ambigious / Others,Taiwan,27535154.0,355921.3499999999
53,Ambigious / Others,Turkey,22861130.0,107851.00000000001
54,Ambigious / Others,United States of America,2400192767.0,598019.6000000001
55,Blues,Australia,6588193.0,14616.700000000003
56,Blues,Austria,238748.0,566.4000000000002
57,Blues,Belgium,703423.0,7770.449999999998
58,Blues,Canada,10339067.0,16818.899999999998
59,Blues,Chile,19705.0,59.2
60,Blues,Denmark,1836688.0,12622.250000000004
61,Blues,Ecuador,2063.0,17.6
62,Blues,Finland,43538.0,109.6
63,Blues,Germany,1155361.0,321.6
64,Blues,Global,116008141.0,10228.0
65,Blues,Ireland,2418041.0,44387.350000000006
66,Blues,Italy,106756.0,74.4
